time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.053993571797758e-08,6.782862302124018e-07,10.00356050041233,0.0005301927380783056,6.283111236405841,0.0,5.437330651997406e-06,5.474657740419368e-05,0.11867762609558194,0.022348055184382987,-0.0038257113051859293,0.0,442.68876216416504,442.3739356556247,442.1219165683737,443.958959817703
0.12000000000000001,2.731408870573608e-06,1.9956843141756747e-05,10.013039194020276,0.0013347297776400424,6.282851523148487,0.0,0.00010808375361526782,0.0007073725379405104,0.19726776464073267,-0.018109441707111852,-0.005353750177961233,0.0,430.11913323716425,429.9898069993546,431.8077544313012,428.3818313339424
0.18,1.7991242120480773e-05,8.733334999204026e-05,10.029280763130217,0.00012976253674068516,6.282318321196421,0.0,0.0004458531292167361,0.0014140010697448436,0.34408448685988696,-0.02435408083906101,-0.01710306658816709,0.0,451.4628366151555,450.5141090409705,452.398762149281,451.8957849454498
0.23999999999999996,6.847998742301958e-05,0.0001688577401109957,10.05585322548013,6.281859542654045,6.282048470086448,0.0,0.0013036381095231167,0.0011336621424270909,0.5415908752250287,-0.024068892348741502,0.013108169510029303,0.0,465.96716429380825,468.3226251001577,466.776603253334,466.79880702301455
0.3,0.00016938383923533192,0.00020066816288443016,10.09357566610266,6.2806393053909595,6.282833289693119,0.0,0.0019709639336718044,-0.00022268295684440745,0.7157303432083673,-0.013760259337359491,0.013024584408828695,0.0,460.685628632191,460.6788960105785,459.2157096021514,460.0326031498174
0.36000000000000004,0.0002915962800210498,0.00013548663084109088,10.138059202568922,6.279802153572479,2.6027662733518753e-05,0.0,0.002042617788847698,-0.0020287514351154563,0.767020634665273,-0.014339858023742358,-0.012633929574184835,0.0,422.77960052065083,420.5633152832411,421.75571384286326,421.7057590459459
0.4200000000000001,0.0004161689668617966,-6.57322393263225e-05,10.18885316591492,6.2788974558048665,6.282882918385827,0.0,0.0021667598443174314,-0.0047758150147254146,0.9259954809712843,-0.016597589077719722,0.0059648657938008,0.0,455.77628641961513,457.26020954225436,455.26870803290416,455.08816027003434
0.48000000000000015,0.0005522415444754934,-0.000467868529921467,10.25260026586087,6.27789986254281,9.132325887861725e-05,0.0,0.0023209652253760823,-0.008754771152943486,1.1986619228961313,-0.016684545303304238,0.0077299562341184725,0.0,489.55315515276965,489.6843479533351,489.40244030588724,489.3960818988272
0.5400000000000001,0.0006879172240694389,-0.0011049691529041448,10.327306890480493,6.276943895725903,0.0004950576781714844,0.0,0.0021577125339579495,-0.012580092208315576,1.2914577874847346,-0.014470187215740296,0.004647568043031936,0.0,436.2963961723568,436.0388906016118,435.85481334327295,436.039908346162
0.6000000000000002,0.0008066776053818032,-0.0019857535451354305,10.406808953988614,6.276032508063091,0.0006880161304376742,0.0,0.0017779345613701165,-0.016865278971729278,1.3585328185106658,-0.016669240634787922,0.00018678117988004512,0.0,427.9116193261342,427.5316946080995,428.39198186055296,428.20506271988705
0.6600000000000003,0.0008981102880632029,-0.0031606973306296427,10.49289244107033,6.274593749031686,0.000502818641147762,0.0,0.001278429665907791,-0.02242430364255423,1.5107269604792652,-0.045545341858386997,-0.010604287563352563,0.0,455.7545106221145,454.8913454553013,455.7919915054321,453.4783827002442
0.7200000000000003,0.0009663752729218481,-0.004707214882374091,10.587992601391445,6.271406642894089,6.28293483472077,0.0,0.0010726365138900285,-0.02943906745693529,1.6590717545295317,-0.07597059131701776,-0.016773010828036686,0.0,453.7152653554789,453.2198996655234,456.1792200345636,453.7413187498814
0.7800000000000004,0.0010409119938655032,-0.006771281823182116,10.693458415679238,6.266734323806961,6.282044889492475,0.0,0.0015218237192510882,-0.03989603020658523,1.856149164623653,-0.08197257236335186,-0.01120933012212615,0.0,469.9334685214858,470.3646185757003,468.7592709156561,468.288164340417
0.8400000000000004,0.0011557648084465633,-0.009493518209296592,10.806124462429926,6.262377757529581,6.281782655510643,0.0,0.002347776564451055,-0.05127363314045342,1.8993067019410192,-0.05848812035148666,0.006649612035599717,0.0,420.94439849004414,422.48698357460125,421.1744110259668,423.19590799603355
0.9000000000000005,0.001323096842791207,-0.012999255403691895,10.922437443940606,6.259047020431909,6.281722148049941,0.0,0.0032051594739762965,-0.06591873310732796,1.9776523221295874,-0.05014318814471306,-0.024315962149175557,0.0,435.14704514391855,432.5472834211427,432.949250727991,433.64856233934273
0.9600000000000005,0.001550651696362549,-0.017455692422399544,11.043730712983066,6.2558984926455,6.279950525028626,0.0,0.004538719019193488,-0.08293328116292631,2.065293399446917,-0.05760171539544015,-0.0427915725994281,0.0,436.88552274961205,435.3420614947214,437.9060687359075,437.28337271111525
1.0200000000000005,0.0019060549065699958,-0.023056437704250872,11.172352958157626,6.252379125345609,6.277244233623081,0.0,0.007597543328495894,-0.10413489200992225,2.2218105029852655,-0.060852044390949815,-0.05018548627746164,0.0,459.0814493696694,458.49329772904497,458.6000561110163,458.33953282478876
1.0800000000000005,0.0024904906322724854,-0.029927466289758002,11.307780420300581,6.248634216380832,6.273849183694441,0.0,0.012190885110002238,-0.1252558667147912,2.292284133350355,-0.06573884639147305,-0.07416749209334149,0.0,434.7680455514271,432.7516425015289,431.2125969575681,430.7966448697003
1.1400000000000006,0.003460364910168257,-0.038270443182829,11.451102692836278,6.244542665896773,6.269224571858775,0.0,0.020658361393537446,-0.1532933098562017,2.484702290693018,-0.07361394911765494,-0.08363952444851329,0.0,470.2696205246621,469.53097862079346,471.13675276922044,470.5242620451512
